player,name,cluster
/sam-johnstone/profil/spieler/110864,Sam Johnstone,4
/vicente-guaita/profil/spieler/64399,Vicente Guaita,4
/joe-whitworth/profil/spieler/670840,Joe Whitworth,0
/marc-guehi/profil/spieler/392757,Marc Guéhi,2
/joachim-andersen/profil/spieler/260827,Joachim Andersen,3
/chris-richards/profil/spieler/578539,Chris Richards,4
/nathan-ferguson/profil/spieler/507254,Nathan Ferguson,0
/james-tomkins/profil/spieler/61592,James Tomkins,4
/tyrick-mitchell/profil/spieler/730893,Tyrick Mitchell,3
/nathaniel-clyne/profil/spieler/85177,Nathaniel Clyne,4
/joel-ward/profil/spieler/92572,Joel Ward,0
/cheick-doucoure/profil/spieler/543387,Cheick Doucouré,3
/jairo-riedewald/profil/spieler/241481,Jairo Riedewald,4
/luka-milivojevic/profil/spieler/74300,Luka Milivojevic,3
/albert-sambi-lokonga/profil/spieler/381967,Albert Sambi Lokonga,3
/naouirou-ahamada/profil/spieler/538971,Naouirou Ahamada,4
/will-hughes/profil/spieler/207014,Will Hughes,4
/james-mcarthur/profil/spieler/41416,James McArthur,4
/jeffrey-schlupp/profil/spieler/157506,Jeffrey Schlupp,4
/eberechi-eze/profil/spieler/479999,Eberechi Eze,3
/wilfried-zaha/profil/spieler/145988,Wilfried Zaha,2
/michael-olise/profil/spieler/566723,Michael Olise,3
/odsonne-edouard/profil/spieler/344152,Odsonne Edouard,3
/jean-philippe-mateta/profil/spieler/420002,Jean-Philippe Mateta,3
/jordan-ayew/profil/spieler/108354,Jordan Ayew,4
/bernd-leno/profil/spieler/72476,Bernd Leno,3
/marek-rodak/profil/spieler/186901,Marek Rodak,4
/issa-diop/profil/spieler/272622,Issa Diop,3
/tosin-adarabioyo/profil/spieler/258878,Tosin Adarabioyo,3
/shane-duffy/profil/spieler/119269,Shane Duffy,4
/tim-ream/profil/spieler/145466,Tim Ream,0
/antonee-robinson/profil/spieler/349701,Antonee Robinson,4
/layvin-kurzawa/profil/spieler/126710,Layvin Kurzawa,3
/kenny-tete/profil/spieler/206746,Kenny Tete,4
/cedric-soares/profil/spieler/112988,Cédric Soares,4
/joao-palhinha/profil/spieler/257455,João Palhinha,2
/harrison-reed/profil/spieler/226973,Harrison Reed,3
/sasa-lukic/profil/spieler/245056,Sasa Lukic,4
/tom-cairney/profil/spieler/123275,Tom Cairney,4
/tyrese-francois/profil/spieler/528888,Tyrese Francois,0
/andreas-pereira/profil/spieler/203394,Andreas Pereira,3
/bobby-de-cordova-reid/profil/spieler/186186,Bobby De Cordova-Reid,4
/manor-solomon/profil/spieler/396638,Manor Solomon,3
/neeskens-kebano/profil/spieler/111422,Neeskens Kebano,0
/willian/profil/spieler/52769,Willian,3
/harry-wilson/profil/spieler/279455,Harry Wilson,3
/daniel-james/profil/spieler/319301,Daniel James,3
/aleksandar-mitrovi%C4%87/profil/spieler/51152,Aleksandar Mitrović,3
/carlos-vinicius/profil/spieler/525287,Carlos Vinícius,4
/neto/profil/spieler/111819,Neto,4
/mark-travers/profil/spieler/357658,Mark Travers,0
/darren-randolph/profil/spieler/51321,Darren Randolph,0
/ilya-zabarnyi/profil/spieler/659089,Ilya Zabarnyi,3
/marcos-senesi/profil/spieler/469781,Marcos Senesi,3
/lloyd-kelly/profil/spieler/480116,Lloyd Kelly,3
/chris-mepham/profil/spieler/480987,Chris Mepham,4
/jack-stephens/profil/spieler/163744,Jack Stephens,4
/matias-vina/profil/spieler/439072,Matías Viña,4
/jordan-zemura/profil/spieler/633530,Jordan Zemura,0
